global_index,turn_id,dialogue_id,turn_index,conversation_id,persuader_turn_index,n_turns_in_dialogue,annotator,strategies,categories,n_labels,flags,note,text
29,20180831-211050_995_live#t018,20180831-211050_995_live,18,2103,9,21,shimanto,minimization_framing|self_modeling|empathy_and_perspective_taking|personal_story,Emotional Appeal|Social Influence|Framing and Presentation|Relational and Interactive,4,,Guideline worked example.,That is understandable. My thought is its only .15 of my bonus and it would take more time to vet the organization then the donation is worth. Sometimes you have to go with that gut feeling and looking at my daughter sleeping right now I do not want any child to go without help that needs it.
30,20180831-211050_995_live#t020,20180831-211050_995_live,20,2103,10,21,shimanto,gratitude_and_appreciation,Reciprocity and Exchange,1,,Closing thanks; the trailing if you feel like donating please do carries no framing of its own.,That is understandable. Thank you for your time and intelligent responses. Have a wonderful evening. And in the end if you feel like donating please do!
31,20180831-180309_707_live#t000,20180831-180309_707_live,0,2124,0,20,shimanto,rapport_building,Relational and Interactive,1,,,Good evening. How are you doing?
32,20180831-180309_707_live#t002,20180831-180309_707_live,2,2124,1,20,shimanto,rapport_building|source_related_inquiry,Relational and Interactive,2,,Guideline worked example.,Not too bad. So have you heard of the charity Save the Children?
33,20180831-180309_707_live#t004,20180831-180309_707_live,4,2124,2,20,shimanto,self_modeling|personal_credibility,Credibility Appeal|Social Influence,2,,something I do from time to time ... only for charities I trust is about the speaker's own vetting practice.,I'm going to donate half of this HIT to them. That's something I do from time to time when I'm asked to donate--but only for charities I trust.
34,20180831-180309_707_live#t006,20180831-180309_707_live,6,2124,3,20,shimanto,self_modeling,Social Influence,1,,Amount and self-model are one move - removing the donation statement leaves no anchor behind.,I'm going to donate 15 cents. That's half. It sounds about right to me.
35,20180831-180309_707_live#t008,20180831-180309_707_live,8,2124,4,20,shimanto,self_modeling,Social Influence,1,,"going up to the full amount does not survive removal of the self-model framing, so not also anchoring.","Well, that's half of my HIT. I've given more, depending on the dollar amount of the HIT. I may consider going up to the full amount of the HIT. I can always make up for it with other smaller surveys."
36,20180831-180309_707_live#t010,20180831-180309_707_live,10,2124,5,20,shimanto,personal_related_inquiry,Relational and Interactive,1,,Bare amount-ask with no framing or mechanism - see the taxonomy-gap note in the README.,"So, how much do you think you'll donate?"
37,20180831-180309_707_live#t012,20180831-180309_707_live,12,2124,6,20,shimanto,self_modeling|logical_appeal,Rational Appeal|Social Influence,2,,cumulative effect is the many-small-donations argument.,"I'm going to go with the full amount of the hit. I don't know how many people do this on mTurk, but I think there's a cumulative effect that has to be, well, I hope it's something."
38,20180831-180309_707_live#t014,20180831-180309_707_live,14,2124,7,20,shimanto,personal_credibility,Credibility Appeal,1,,"Vouches from own acquaintance with researchers; does not explain where money goes, so not transparency.","I'm pretty confident the research team does the right thing. I've known a lot of graduate assistant researchers, and they're an honest bunch."
39,20180831-180309_707_live#t016,20180831-180309_707_live,16,2124,8,20,shimanto,self_modeling|transparency_and_accountability|comparison_framing,Credibility Appeal|Social Influence|Framing and Presentation,3,,Overhead claim plus an explicit contrast with United Way.,"This is another revenue stream for the charity. I've tended to give to them when asked. They don't spend too much on overhead and admin costs, like some other charities. (Yes, United Way, I'm looking at you.)"
40,20180831-180309_707_live#t018,20180831-180309_707_live,18,2124,9,20,shimanto,rapport_building,Relational and Interactive,1,,"Agreement plus a confirming check; no refusal precedes it, so not persistent_repetition.",Yes. So you're going to do 15 cents?
41,20180831-191926_666_live#t000,20180831-191926_666_live,0,2144,0,20,shimanto,rapport_building,Relational and Interactive,1,,,Hi! How are you today?
42,20180831-191926_666_live#t002,20180831-191926_666_live,2,2144,1,20,shimanto,rapport_building|source_related_inquiry,Relational and Interactive,2,,,I'm good. Thanks for asking. Have you heard of the organization Save the Children?
43,20180831-191926_666_live#t004,20180831-191926_666_live,4,2144,2,20,shimanto,organization_information,Information Provision,1,,,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries."
44,20180831-191926_666_live#t006,20180831-191926_666_live,6,2144,3,20,shimanto,organization_information,Information Provision,1,,,They are a global organization. They help children from the US to Syria.
45,20180831-191926_666_live#t008,20180831-191926_666_live,8,2144,4,20,shimanto,donation_procedure_information|minimization_framing,Framing and Presentation|Information Provision,2,,Everything adds up and every little bit helps say the same thing here; kept the more specific minimisation under test 2.,I am helping get donations for Save the Children. Would you be interested in donating anywhere from as little as $0.01 to $2.00? Everything adds up and every little bit helps!
46,20180831-191926_666_live#t010,20180831-191926_666_live,10,2144,5,20,shimanto,donation_procedure_information,Information Provision,1,,,"Just tell me how much you would like to donate, and then at the end of this survey they will ask again how much you would like to donate."
47,20180831-191926_666_live#t012,20180831-191926_666_live,12,2144,6,20,shimanto,gratitude_and_appreciation|personal_related_inquiry,Reciprocity and Exchange|Relational and Interactive,2,,,"Wow, you are so generous! Do you have children yourself?"
48,20180831-191926_666_live#t014,20180831-191926_666_live,14,2144,7,20,shimanto,personal_related_inquiry|evidence_and_statistics|organization_information,Rational Appeal|Information Provision|Relational and Interactive,3,,"5.6 million from preventable and treatable causes is the number doing the work, so evidence beats emotion under test 2.",How did you come to the conclusion that you would like to donate? Here is some more information on what your donations go to: Nearly 5.6 million children die each year due to preventable and treatable causes. Malnutrition contributes to the deaths of children and a lifetime of poor health. We are committed to providing health and nutrition programs that save children's lives and ensure they grow up healthy.
49,20180831-191926_666_live#t016,20180831-191926_666_live,16,2144,8,20,shimanto,social_proof|gratitude_and_appreciation,Social Influence|Reciprocity and Exchange,2,,a lot of people want to help but will not actually donate references what most people do.,"Yes, believe me I see a lot of people want to do something to help but will not actually donate. Thank you so much for your contribution!"
50,20180831-191926_666_live#t018,20180831-191926_666_live,18,2144,9,20,shimanto,personal_related_inquiry,Relational and Interactive,1,,,"One last question. If you were asked to sponsor a child, do you think you would be interested?"
51,20180831-175558_427_live#t000,20180831-175558_427_live,0,2164,0,20,shimanto,rapport_building,Relational and Interactive,1,,,happy friday! do you have any fun plans this weekend?
52,20180831-175558_427_live#t002,20180831-175558_427_live,2,2164,1,20,shimanto,rapport_building,Relational and Interactive,1,,"The volunteering mention is small talk setting up the pivot, not self_modeling - no donation is stated.",I went to the movie theater earlier and now I am just watching tv while it rains outside. I am volunteering tomorrow morning.
53,20180831-175558_427_live#t004,20180831-175558_427_live,4,2164,2,20,shimanto,rapport_building|personal_related_inquiry,Relational and Interactive,2,,,I saw crazy rich Asians. it was pretty good. It was based on a book. I have to heard to bed early for volunteering tomorrow morning. Do you ever volunteer?
54,20180831-175558_427_live#t006,20180831-175558_427_live,6,2164,3,20,shimanto,personal_credibility|source_related_inquiry,Credibility Appeal|Relational and Interactive,2,,,I am active in Save the Children. Have you heard of it?
55,20180831-175558_427_live#t008,20180831-175558_427_live,8,2164,4,20,shimanto,organization_information,Information Provision,1,,,"It is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries."
56,20180831-175558_427_live#t010,20180831-175558_427_live,10,2164,5,20,shimanto,self_modeling,Social Influence,1,,Own fundraising act offered as an example.,I am fdoing a 5k tomorrow with all proceeds going to the Children.
57,20180831-175558_427_live#t012,20180831-175558_427_live,12,2164,6,20,shimanto,donor_benefit|gratitude_and_appreciation|donation_procedure_information|feasibility_and_ease,Rational Appeal|Reciprocity and Exchange|Information Provision,4,,Guideline worked example - four clauses each surviving removal of the others.,It is really rewarding to know you are making a difference. That would be generous of you to donate. You can have it deducted from your HIT.
58,20180831-175558_427_live#t014,20180831-175558_427_live,14,2164,7,20,shimanto,minimization_framing,Framing and Presentation,1,,,Every penny counts! and for people that can't donate money they can donate their time.
59,20180831-175558_427_live#t016,20180831-175558_427_live,16,2164,8,20,shimanto,rapport_building,Relational and Interactive,1,,,great point!
60,20180831-175558_427_live#t018,20180831-175558_427_live,18,2164,9,20,shimanto,gratitude_and_appreciation,Reciprocity and Exchange,1,,,have a great weekend! Thanks again for your donation!
61,20180828-190442_503_live#t000,20180828-190442_503_live,0,2184,0,20,shimanto,rapport_building,Relational and Interactive,1,,,How are you?
62,20180828-190442_503_live#t002,20180828-190442_503_live,2,2184,1,20,shimanto,rapport_building|source_related_inquiry,Relational and Interactive,2,,,"Im fine, have you heard about Save the Children charity?"
63,20180828-190442_503_live#t004,20180828-190442_503_live,4,2184,2,20,shimanto,organization_information,Information Provision,1,,,"Sort of, Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries."
64,20180828-190442_503_live#t006,20180828-190442_503_live,6,2184,3,20,shimanto,organization_information|donation_procedure_information,Information Provision,2,,,"Mostly developing countries where the help is needed most, would you like to donate part of your reward for this task?"
65,20180828-190442_503_live#t008,20180828-190442_503_live,8,2184,4,20,shimanto,emotion_appeal|evidence_and_statistics,Rational Appeal|Emotional Appeal,2,,"Separate sentences: the Syrian plight, then the 1,000-children figure.","Thats great but I only can speak on Save the Children, millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence. That's why it's important to help these children that can use your help."
66,20180828-190442_503_live#t010,20180828-190442_503_live,10,2184,5,20,shimanto,donation_procedure_information,Information Provision,1,,,The research team will collect all donations and send it to Save the Children.
67,20180828-190442_503_live#t012,20180828-190442_503_live,12,2184,6,20,shimanto,organization_information,Information Provision,1,,,"Save the Children donations is essential to help ensuring children's rights to health, education, safety, etc"
68,20180828-190442_503_live#t014,20180828-190442_503_live,14,2184,7,20,shimanto,transparency_and_accountability|personal_related_inquiry,Credibility Appeal|Relational and Interactive,2,,Answers a where-does-the-money-go challenge; the trailing ask carries no framing of its own.,"No it doesn't work that way, like I said on the last message the money goes into ensuring the rights to health, education, safety etc. It does go directly into their pockets, it goes into advancing their life. How much would you like to donate?"
69,20180828-190442_503_live#t016,20180828-190442_503_live,16,2184,8,20,shimanto,transparency_and_accountability|hope_and_positive_impact,Emotional Appeal|Credibility Appeal,2,,"100% goes to the charity, plus an uplifting outcome framing.","0 it all goes to the charity 100%, would you like to donate and help a child get an opportunity to have a better life?"
70,20180828-190442_503_live#t018,20180828-190442_503_live,18,2184,9,20,shimanto,persistent_repetition,Threat and Pressure,1,,Donate yes or no? pushes past I am not sure I am ready to donate at this time.,You got it. Donate yes or no?
71,20180828-200947_596_live#t000,20180828-200947_596_live,0,2204,0,20,shimanto,,,0,empty_set,Bare Hello! with nothing attached - guideline says prefer empty when in doubt.,Hello!
72,20180828-200947_596_live#t002,20180828-200947_596_live,2,2204,1,20,shimanto,source_related_inquiry,Relational and Interactive,1,,,Have you ever heard of the Save the Children organization?
73,20180828-200947_596_live#t004,20180828-200947_596_live,4,2204,2,20,shimanto,organization_information,Information Provision,1,,,"It's an international non-governmental organization that promotes children's rights, provides relief, and helps support children in developing countries"
74,20180828-200947_596_live#t006,20180828-200947_596_live,6,2204,3,20,shimanto,emotion_appeal|organization_information,Emotional Appeal|Information Provision,2,,they do incredible work is passing praise; the substantive content is the plight and what the funding does.,"Yeah, they do incredible work. Children in developing nations die from hunger and disease every day. They use their funding to help change that"
75,20180828-200947_596_live#t008,20180828-200947_596_live,8,2204,4,20,shimanto,organizational_credibility|source_citation,Credibility Appeal,2,,Rankings claim plus an explicit URL.,"I'm sure there are, but Save the Children has high rankings for their good work and charity. You can see information about it on their website: URL s/about-us/awards-and-rankings"
76,20180828-200947_596_live#t010,20180828-200947_596_live,10,2204,5,20,shimanto,transparency_and_accountability|organization_information,Credibility Appeal|Information Provision,2,,,"The money goes right towards helping children! For instance, they've been helping children in Syria who are growing up facing the violence there."
77,20180828-200947_596_live#t012,20180828-200947_596_live,12,2204,6,20,shimanto,organizational_credibility|evidence_and_statistics,Rational Appeal|Credibility Appeal,2,,Same shape as the index-11 worked example: reputation claim plus an external rating.,"As I mentioned, they are a highly ranked charity. Charity Navigator gives them 3 of 4 stars based on their efficiency and capacity."
78,20180828-200947_596_live#t014,20180828-200947_596_live,14,2204,7,20,shimanto,organizational_credibility,Credibility Appeal,1,,"Asserts impartiality - a trust claim, not a description.","Save the Children isn't a religious organization, it has no agenda except to help children around the world."
79,20180828-200947_596_live#t016,20180828-200947_596_live,16,2204,8,20,shimanto,comparison_framing|minimization_framing,Framing and Presentation,2,,coffee or a bag of chips matches the comparison cue; spare change and small donations minimise.,"In any case, I'm sure you can agree that saving children around the world is a worthy cause. A much more meaningful way to use your spare change than buying a coffee or a bag of chips from the vending machine. Small donations make a huge impact on the children and their families."
80,20180828-200947_596_live#t018,20180828-200947_596_live,18,2204,9,20,shimanto,donation_procedure_information,Information Provision,1,,,"So, how much would you be willing to donate to this charity now? You can choose any amount up to $2"
81,20180828-151312_220_live#t000,20180828-151312_220_live,0,2224,0,20,shimanto,rapport_building,Relational and Interactive,1,,,Hello how are you
82,20180828-151312_220_live#t002,20180828-151312_220_live,2,2224,1,20,shimanto,rapport_building|personal_related_inquiry,Relational and Interactive,2,,,I am doing well thank you! Are you thinking of donating?
83,20180828-151312_220_live#t004,20180828-151312_220_live,4,2224,2,20,shimanto,rapport_building|personal_related_inquiry,Relational and Interactive,2,,,"That is great! First, can I ask why you would like to donate?"
84,20180828-151312_220_live#t006,20180828-151312_220_live,6,2224,3,20,shimanto,rapport_building|personal_related_inquiry,Relational and Interactive,2,,,That is great! How much would you like to donate to the charity now?
85,20180828-151312_220_live#t008,20180828-151312_220_live,8,2224,4,20,shimanto,gratitude_and_appreciation,Reciprocity and Exchange,1,,,That is amazing! Thank you so much for your donation!
86,20180828-151312_220_live#t010,20180828-151312_220_live,10,2224,5,20,shimanto,rapport_building,Relational and Interactive,1,,"Opens the where-your-money-goes disclosure; judgment call, see README.",Would you like to hear where your donation is going?
87,20180828-151312_220_live#t012,20180828-151312_220_live,12,2224,6,20,shimanto,transparency_and_accountability,Credibility Appeal,1,,"Labelled as stated even though childhood cancer research is off-script for Save the Children - rule 3, label what is there.",Your donation will go to help childhood cancer research. It will directly benefit pediatric research.
88,20180828-151312_220_live#t014,20180828-151312_220_live,14,2224,7,20,shimanto,personal_related_inquiry,Relational and Interactive,1,,,Would you feel conflicted if animals were involved in the research?
89,20180828-151312_220_live#t016,20180828-151312_220_live,16,2224,8,20,shimanto,rapport_building,Relational and Interactive,1,,"Praises their survival rather than their giving, so not gratitude_and_appreciation.","Glad to hear that! Also, glad to hear you were able to fight the good fight!"
90,20180828-151312_220_live#t018,20180828-151312_220_live,18,2224,9,20,shimanto,gratitude_and_appreciation,Reciprocity and Exchange,1,,,Thank you so much for your donation!
91,20180828-221141_79_live#t000,20180828-221141_79_live,0,2244,0,20,shimanto,personal_related_inquiry,Relational and Interactive,1,,Bare ask; the Hi is not doing relationship work.,"Hi, are you interest in making a donation called, Save the Children?"
92,20180828-221141_79_live#t002,20180828-221141_79_live,2,2244,1,20,shimanto,organization_information,Information Provision,1,,,Save the children is a charity for homeless children and food for these children.
93,20180828-221141_79_live#t004,20180828-221141_79_live,4,2244,2,20,shimanto,source_related_inquiry,Relational and Interactive,1,,,Have you ever heard of Save the Children from friends or family.
94,20180828-221141_79_live#t006,20180828-221141_79_live,6,2244,3,20,shimanto,donation_procedure_information,Information Provision,1,,"States the cap as mechanics without pushing toward it, so not anchoring.",You can donate any amount you like as much as $2.00.
95,20180828-221141_79_live#t008,20180828-221141_79_live,8,2244,4,20,shimanto,donation_procedure_information,Information Provision,1,,,"Yes, you can donate to any child around the world, one child or a group of children."
96,20180828-221141_79_live#t010,20180828-221141_79_live,10,2244,5,20,shimanto,transparency_and_accountability,Credibility Appeal,1,,,As far as i understand the entire amount goes to that cause.
97,20180828-221141_79_live#t012,20180828-221141_79_live,12,2244,6,20,shimanto,donation_procedure_information,Information Provision,1,,,no your donation will be directly deducted from your task payment any amount from $0.00 to $2.00.
98,20180828-221141_79_live#t014,20180828-221141_79_live,14,2244,7,20,shimanto,self_modeling,Social Influence,1,,,I have been donating a little more than two years.
99,20180828-221141_79_live#t016,20180828-221141_79_live,16,2244,8,20,shimanto,incremental_ask|comparison_framing,Commitment and Consistency|Framing and Presentation,2,,Drops to .25 after I do not have much money; less than a newspaper or a cup of coffee matches the comparison cue.,How does .25 sounds to you? less than a newspaper or a cup of coffee?
100,20180828-221141_79_live#t018,20180828-221141_79_live,18,2244,9,20,shimanto,gratitude_and_appreciation|minimization_framing,Reciprocity and Exchange|Framing and Presentation,2,,Thanks the persuadee (gratitude_and_appreciation); 'every little is a help' minimises the ask (minimization_framing).,"That sounds good. Thank you very much, every little is a help."
101,20180828-185546_199_live#t000,20180828-185546_199_live,0,2264,0,20,shimanto,,,0,empty_set,"Bare greeting, first turn.",Hello
102,20180828-185546_199_live#t002,20180828-185546_199_live,2,2264,1,20,shimanto,rapport_building,Relational and Interactive,1,,Opening small-talk question to build warmth.,How are you?
103,20180828-185546_199_live#t004,20180828-185546_199_live,4,2264,2,20,shimanto,rapport_building,Relational and Interactive,1,,Continues small talk before pivoting to ask; builds warmth.,Good! I am well. I have a really important question to ask of you
104,20180828-185546_199_live#t006,20180828-185546_199_live,6,2264,3,20,shimanto,organization_information|personal_credibility,Credibility Appeal|Information Provision,2,,Describes charity's mission (organization_information); personal involvement framing (personal_credibility).,I have been very lucky to be apart of a non-governmental organization called Save the Children and it provides relief and support to children in developing country
105,20180828-185546_199_live#t008,20180828-185546_199_live,8,2264,4,20,shimanto,personal_story|emotion_appeal,Emotional Appeal|Relational and Interactive,2,,Narrative about current Puerto Rico relief shipment (personal_story); evoking distress about affected families (emotion_appeal).,"It's so meaningful! Right now we are preparing a large shipment of supplies for Puerto Rico. There are families that we are in close contact with who have lost their children in the hurricane. More and more families are coming out of the woodwork, and we are becoming short on funds to help them. All I am asking is for the possibility of you to make a kind donation of two dollars so that we can ship more supplies to devastated families in Puerto Rico"
106,20180828-185546_199_live#t010,20180828-185546_199_live,10,2264,5,20,shimanto,evidence_and_statistics|organizational_credibility,Rational Appeal|Credibility Appeal,2,,"250,000 children figure is concrete evidence (evidence_and_statistics); claiming international scale = organizational credibility.","We would really appreciate that. Right now, we are an international organization that has helped over 250,000 children in developing countries. We are based in the United States, and all of the people who participate in this organization have a background involving children (mainly teachers and parents). With donations, we are projected to help over 750,000 children in the next three years."
107,20180828-185546_199_live#t012,20180828-185546_199_live,12,2264,6,20,shimanto,donation_procedure_information,Information Provision,1,,Explains donation mechanism (deducted from task payment). Glitch apology is incidental.,"I'm sorry, my computer kind of glitched out. How much would you like to donate to the organization now? Your donation will be deducted from your task payment. You can choose any amount from $) to all of your payment ($2)"
108,20180828-185546_199_live#t014,20180828-185546_199_live,14,2264,7,20,shimanto,gratitude_and_appreciation,Reciprocity and Exchange,1,,Thanks and praises the persuadee's donation decision.,Thank you very much. You are helping us give a wonderful service.
109,20180828-185546_199_live#t016,20180828-185546_199_live,16,2264,8,20,shimanto,impact_information,Information Provision,1,,States concretely how far money goes within the organization.,Exactly. It's surprising how $100 can go so far within this organization.
110,20180828-185546_199_live#t018,20180828-185546_199_live,18,2264,9,20,shimanto,emotion_appeal|in_group_appeal,Emotional Appeal|Social Influence,2,,'our territory' invokes shared national identity (in_group_appeal); 'so desperately in need' evokes distress (emotion_appeal).,"I completely understand, especially because they are our territory. That's why organizations have stepped up and taking the place of the government. We are so desperately in need of money though, so we sincerely thank you."
111,20180828-220746_854_live#t000,20180828-220746_854_live,0,2284,0,24,shimanto,rapport_building,Relational and Interactive,1,,Opening greeting with engaging question — rapport_building.,Hello How Are You today ?
112,20180828-220746_854_live#t002,20180828-220746_854_live,2,2284,1,24,shimanto,organization_information|self_modeling,Social Influence|Information Provision,2,,Names charity and its purpose (organization_information); states own intent to donate (self_modeling).,same just trying to collect a donation for the Save the Children foundation as i will be donating as well
113,20180828-220746_854_live#t004,20180828-220746_854_live,4,2284,2,24,shimanto,personal_credibility|personal_story,Credibility Appeal|Relational and Interactive,2,,Volunteering = standing to speak (personal_credibility); 4 children = autobiographical narrative per guideline worked example (personal_story).,i volunteer as well as i have 4 children of my own
114,20180828-220746_854_live#t006,20180828-220746_854_live,6,2284,3,24,shimanto,organization_information,Information Provision,1,,Neutral description of what the charity does.,they help with needy familes in the us as well as needy children in countries that are needy as well
